bairro,cidade,estado,lat,lng
Jardim de Cresci,São Carlos,SP,-22.0304766,-47.8623293
Vila Vista Alegre,São Carlos,SP,-22.0091527,-47.8718391
Chacara Leila,São Carlos,SP,,
Parque Belvedere,São Carlos,SP,-21.996737,-47.8718096
Recanto do Bosque,São Carlos,SP,-21.9992474,-47.9245739
Loteamento Municipal São Carlos 3,São Carlos,SP,,
Estância Balneária Concórdia Prolongamento,São Carlos,SP,-21.9082209,-47.806569
Sitio São José,São Carlos,SP,-22.0839796,-47.7705396
Residencial Itamarati,São Carlos,SP,-22.0004549,-47.8530014
Jardim Munique,São Carlos,SP,-22.002386,-47.8577838
Agua Vermelha,São Carlos,SP,-21.8985118,-47.8503572
Jardim Macarenco,São Carlos,SP,,
Parque Sabará,São Carlos,SP,-22.0124561,-47.860434
Jardim das Torres Prolongamento,São Carlos,SP,,
Jardim Hikare,São Carlos,SP,-21.9935438,-47.901677
Residencial Eldorado,São Carlos,SP,-21.9800971,-47.9274614
Parque Industrial,São Carlos,SP,-21.9901567,-47.8997227
Dream Santo Antônio,São Carlos,SP,,
Jardim Bicao,São Carlos,SP,-22.0291213,-47.9114718
Parque Vale do Uirapuru,São Carlos,SP,,
Vila Conceição,São Carlos,SP,-22.0486868,-47.8922831
Ceat,São Carlos,SP,,
Jardim Paulista,São Carlos,SP,-22.0202627,-47.9055574
Jardim Araucaria,São Carlos,SP,-21.9765905,-47.9490235
Condominio Parque Residencial Damha IV,São Carlos,SP,,
Loteamento Habitacional Sao Carlos I,São Carlos,SP,,
Jardim Botafogo I,São Carlos,SP,-22.0234875,-47.9097986
Parque Tecnologico,São Carlos,SP,-21.1467905,-47.8599289
Parque Faber Castell II,São Carlos,SP,,
Loteamento Municipal Sao Carlos III,São Carlos,SP,,
Condominio Parque Residencial Damha I,São Carlos,SP,-21.9642817,-47.9017191
Loteamento Habitacional Sao Carlos VIII,São Carlos,SP,,
Condominio Parque Residencial Damha II,São Carlos,SP,-21.9688567,-47.8983438
Condomínio Parque Residencial Damha III,São Carlos,SP,,
Jardim Mercedes,São Carlos,SP,-22.0288428,-47.8837923
Tibaia de São Fernando,São Carlos,SP,-21.934981,-47.8867878
Vila Faria,São Carlos,SP,-22.0152456,-47.874571
Vila Monteiro,São Carlos,SP,-22.0267281,-47.8818335
Vila Celina,São Carlos,SP,-21.9940456,-47.8904766
Parque Residencial Maria Stella Faga,São Carlos,SP,-22.0018351,-47.8560568
Condominio Residencial Village Damha I,São Carlos,SP,,
Salto do Monjolinho,São Carlos,SP,,
Jardim Santa Maria II,São Carlos,SP,-22.0013242,-47.8723996
Vila Monteiro Gleba I,São Carlos,SP,-22.0256119,-47.8872884
Conjunto Habitacional Waldomiro Lobbe Sobrinho,São Carlos,SP,,
Vila Carmem,São Carlos,SP,-22.0286617,-47.9075879
Vila Max,São Carlos,SP,-22.0107186,-47.8732557
Vila Pureza,São Carlos,SP,,
Nova Estancia,São Carlos,SP,,
Parque São José,São Carlos,SP,-22.0366792,-47.8789076
Vila Rancho Velho,São Carlos,SP,-22.0151582,-47.8710331
Distrito Industrial Miguel Abdelnur,São Carlos,SP,-22.04077,-47.872635
Estância Balneária Concórdia,São Carlos,SP,-21.9142764,-47.808587
Parque Santa Marta,São Carlos,SP,-21.9969941,-47.9084524
Parque Primavera,São Carlos,SP,-22.0069301,-47.8669354
Residencial Deputado Jose Zavaglia,São Carlos,SP,-22.047218,-47.9232337
Jardim Pacaembu,São Carlos,SP,-22.0392372,-47.8949967
Condominio Residencial Village Damha IV,São Carlos,SP,,
Aparecidinha,São Carlos,SP,-22.0277868,-47.7797713
Vila Boa Vista I,São Carlos,SP,-22.034209,-47.8987459
Samambaia,São Carlos,SP,-21.9596798,-47.8871496
Residencial Astolpho Luiz do Prado,São Carlos,SP,-21.9943757,-47.8592676
Vinte e Nove,São Carlos,SP,-21.8559229,-47.4837151
Area Rural de São Carlos,São Carlos,SP,,
Vila Santa Madre Cabrini,São Carlos,SP,-22.0500052,-47.8936026
Parque dos Ipes,São Carlos,SP,,
Estancia Suica,São Carlos,SP,-21.9997056,-47.8793855
Vila Alpes,São Carlos,SP,-22.0318345,-47.8772312
Vila Sonia,São Carlos,SP,-22.0365557,-47.8947948
Jardim Botafogo,São Carlos,SP,-22.0234875,-47.9097986
Jardim Social Belvedere,São Carlos,SP,-22.0424209,-47.9031362
Jardim Veneza,São Carlos,SP,-22.008292,-47.8587509
Vila Irene,São Carlos,SP,-22.0309523,-47.8837724
Azulville II,São Carlos,SP,-22.0293795,-47.8675825
Portal do Sol,São Carlos,SP,-22.0248214,-47.8738926
Jardim Cardinali,São Carlos,SP,-22.0220696,-47.8727148
Nao Consta,São Carlos,SP,,
Jardim Maracana,São Carlos,SP,-22.0374365,-47.8643282
Jardim Acapulco,São Carlos,SP,-21.9955714,-47.9130292
Parque dos Flamboyant,São Carlos,SP,-22.3594848,-46.9455829
Recreio dos Bandeirantes,São Carlos,SP,-22.02423,-47.9130516
Parque dos Timburis,São Carlos,SP,-22.0181795,-47.8595074
Jardim dos Coqueiros,São Carlos,SP,-21.9964317,-47.8592149
Jardim Real,São Carlos,SP,-22.0024957,-47.870628
Santa Felicia,São Carlos,SP,-22.0013909,-47.9161247
Chacara Parque Club,São Carlos,SP,,
Parque Eco,Tecnologico Damha I,,,
Jardim Medeiros,São Carlos,SP,-22.0391052,-47.9122891
Jardins do Porto,São Carlos,SP,,
Loteamento Jardim Vista Alegre,São Carlos,SP,,
Conjunto Habitacional Residencial Itatiaia,São Carlos,SP,,
Condominio Faixa Azul,São Carlos,SP,-21.9575665,-47.8881999
Recanto dos Passaros,São Carlos,SP,-22.0542767,-47.792575
Recanto do Sabiá,São Carlos,SP,,
Loteamento Residencial Vida Nova Sao Carlos,São Carlos,SP,,
Varjao,São Carlos,SP,-22.0171127,-48.2459167
Jardim Leticia,São Carlos,SP,,
Residencial Progresso,SÃO CARLOS,SP,,
Lagoa Dourada,São Carlos,SP,,
Condominio Village São Carlos IV,São Carlos,SP,-21.9756055,-47.9015218
Balneario Santo Antonio,Broa,,,
Parque Faber Castell IV,São Carlos,SP,,
Loteamento Arace de Santo Antonio II,São Carlos,SP,,
Jardim Sao Rafael,São Carlos,SP,-22.0176816,-47.8511968
Romeu Tortorelli,São Carlos,SP,-22.0072693,-47.922513
Jardim Santa Julia,São Carlos,SP,-22.3639789,-46.9351011
Jardim Tijuca,São Carlos,SP,-22.0375893,-47.8582268
Residencial Parque Douradinho,São Carlos,SP,,
Villeneuve II,São Carlos,SP,,
Vila Deriggi,São Carlos,SP,-22.0109707,-47.8781453
Jardim São Carlos 5,São Carlos,SP,-22.018327,-47.8999293
Jardim Citelli,São Carlos,SP,-22.0187763,-47.8697959
Mirante da Bela Vista,São Carlos,SP,-22.0428685,-47.909424
Área Rural,São Carlos,SP,,
Morada dos Deuses,São Carlos,SP,-21.9985662,-47.9140037
Vale Santa Felicidade,São Carlos,SP,-21.9297601,-47.8772633
Jardim do Bosque,São Carlos,SP,-21.9018475,-47.6208103
Residencial Santo Antônio,São Carlos,SP,-22.3594848,-46.9455829
Parque Faber Castell 5,São Carlos,SP,,
Parque Paraíso,São Carlos,SP,-22.0026599,-47.9104208
Condominio Residencial Quebec,São Carlos,SP,-21.9864196,-47.9338191
Vila Pelicano,São Carlos,Sp,-22.0239144,-47.8970665
Loteamento Residencial Eduardo Abdelnur,São Carlos,SP,,
Jardim Santa Elisa,São Carlos,SP,,
Vale da Santa Felicidade,São Carlos,SP,-21.9297601,-47.8772633
Quinta dos Buritis,São Carlos,SP,-21.9197768,-47.8952623
Conjunto Habitacional Santa Angelina,São Carlos,SP,-21.9938695,-47.9288792
Loteamento Residencial Eduardo Abdelnur II,São Carlos,SP,,
Loteamento Residencial Ipê,Mirim,,,
Tijuco Preto,São Carlos,SP,-22.0040839,-47.8885804
Vila Bela Vista,São Carlos,SP,-22.0276096,-47.9012334
Arace de Santo Antônio,São Carlos,SP,-21.9428821,-47.9431771
Parque Delta,São Carlos,SP,-21.9907035,-47.8959997
Vila Santo Antonio,São Carlos,SP,-22.978962,-49.8673488
Monjolinho,São Carlos,SP,-21.9905248,-47.8925599
Mirante Bela Vista,São Carlos,SP,-22.0428685,-47.909424
Conjunto Habitacional Dom Constantino Amstalden,São Carlos,SP,,
